notice_id,card_id,notice_category,sub_category,notice_content,updated_at
SHC_1228407_2207_N0001,SHC_1228407_2207,카드발급 유의사항,카드발급 유의사항,연회비는 카드별로 기본 연회비와 서비스 연회비를 합산한 총 연회비가 청구됩니다.,2026-04-30
SHC_1228407_2207_N0002,SHC_1228407_2207,카드발급 유의사항,카드발급 유의사항,가족카드 연회비는 없습니다.,2026-04-30
SHC_1228407_2207_N0003,SHC_1228407_2207,카드발급 유의사항,카드발급 유의사항,"(단, 가족카드 단독으로 발급받을 경우 연회비가 부과됩니다.)",2026-04-30
SHC_1228407_2207_N0004,SHC_1228407_2207,카드발급 유의사항,카드발급 유의사항,후불교통카드 신청 가능합니다.,2026-04-30
SHC_1228407_2207_N0005,SHC_1228407_2207,카드발급 유의사항,카드발급 유의사항,해외겸용(VISA)은 컨택리스 결제를 지원합니다.,2026-04-30
SHC_1228407_2207_N0006,SHC_1228407_2207,카드발급 유의사항,카드발급 유의사항,"신한카드 Point Plan+로 국제브랜드사(VISA)의 플래티늄 서비스를 이용할 수 있습니다. 브랜드사 서비스 안내장, 신한카드 홈페이지(www.shinhancard.com) 및 국제브랜드사 홈페이지(www.visakorea.com)에서 서비스 세부 내용 및 유의사항을 확인해주세요.",2026-04-30
SHC_1228407_2207_N0007,SHC_1228407_2207,부가서비스 변경가능 사유,부가서비스 변경가능 사유,카드 이용 시 제공되는 포인트 및 할인 혜택 등의 부가서비스는 카드 신규출시(2024.06.20) 이후 3년 이상 축소·폐지 없이 유지됩니다.,2026-04-30
SHC_1228407_2207_N0008,SHC_1228407_2207,부가서비스 변경가능 사유,부가서비스 변경가능 사유,"상기에도 불구하고, 다음과 같은 사유가 발생한 경우 카드사는 부가서비스를 변경할 수 있습니다.",2026-04-30
SHC_1228407_2207_N0009,SHC_1228407_2207,부가서비스 변경가능 사유,부가서비스 변경가능 사유,①카드사의 휴업·파산·경영상의 위기 등에 따른 불가피한 경우,2026-04-30
SHC_1228407_2207_N0010,SHC_1228407_2207,부가서비스 변경가능 사유,부가서비스 변경가능 사유,②제휴업체의 휴업·파산·경영상의 위기로 인해 불가피하게 부가서비스를 축소·변경하는 경우로서 다른 제휴업체를 통해 동종의 유사한 부가서비스 제공이 불가한 경우,2026-04-30
