benefit_id,card_id,row_type,benefit_group,benefit_title,benefit_summary,category,category_id,on_offline,region,benefit_type,value,unit,target_merchants,excluded_merchants,min_amount,performance_level,max_count,max_limit,benefit_content,updated_at
1,HCAMCXPRICAC0076_09922,혜택,주요혜택,국내 가맹점,국내 가맹점,,,Both,국내,할인,1,%,,,,,,,국내 가맹점1% 할인,2026-05-10 19:57:00
2,HCAMCXPRICAC0076_09922,혜택,주요혜택,해외가맹점,해외가맹점,해외,19,Both,해외,할인,2,%,,,,,,,해외 가맹점2% 할인,2026-05-10 19:57:00
3,HCAMCXPRICAC0076_09922,혜택,주요혜택,자동이체 할인,자동이체 할인,구독/스트리밍,8,Online,국내,할인,,,,,,,,,"쇼핑 멤버십 50% 할인,OTT 10% 할인,이동통신 5% 할인",2026-05-10 19:57:00
4,HCAMCXPRICAC0076_09922,혜택,상세혜택,국내 가맹점,국내 가맹점 1%,,,Both,국내,할인,1,%,,,,,,,국내 가맹점 | 1%,2026-05-10 19:57:00
5,HCAMCXPRICAC0076_09922,혜택,상세혜택,해외 가맹점,해외 가맹점 2%,해외,19,Both,해외,할인,2,%,,,,,,40000,해외 가맹점 | 2% | 월한도: 4만원,2026-05-10 19:57:00
6,HCAMCXPRICAC0076_09922,혜택,상세혜택,쇼핑 멤버십 (40만원 이상),쇼핑 멤버십 50%,구독/스트리밍,8,Online,국내,할인,50,%,쿠팡 로켓와우,,,400000,,3000,쇼핑 멤버십 | 50% | 전월실적: 400000 | 월한도: 3천원,2026-05-10 19:57:00
7,HCAMCXPRICAC0076_09922,혜택,상세혜택,OTT (40만원 이상),OTT 10%,구독/스트리밍,8,Online,국내,할인,10,%,"넷플릭스, 유튜브 프리미엄, 웨이브, 티빙, 디즈니플러스",,,400000,,3000,OTT | 10% | 전월실적: 400000 | 월한도: 3천원,2026-05-10 19:57:00
8,HCAMCXPRICAC0076_09922,혜택,상세혜택,이동통신 자동납부 요금 (40만원 이상),이동통신 자동납부 요금 5%,생활비,12,Online,국내,할인,5,%,"SKT, KT, LG U+, Liiv M",,,400000,,3000,이동통신 자동납부 요금 | 5% | 전월실적: 400000 | 월한도: 3천원,2026-05-10 19:57:00
9,HCAMCXPRICAC0076_09922,혜택,상세혜택,국내 및 해외 가맹점 할인,국내 가맹점 1% 할인,해외,19,Both,해외,할인,1,%,,,,,,,국내 가맹점 1% 할인 | 전월 이용실적 조건 및 할인한도 없음,2026-05-10 19:57:00
10,HCAMCXPRICAC0076_09922,혜택,상세혜택,국내 및 해외 가맹점 할인,해외 가맹점 2% 할인,해외,19,Both,해외,할인,2,%,,,,,,40000,"해외 가맹점 2% 할인 | 할인한도 : 월 4만원 (전월 이용실적 조건 없음) / 해외 할인은 국내외겸용 카드에 한해 제공 / 해외 이용 시 별도의 수수료 부과되며, 자세한 내용은 '해외 이용 확인사항' 참조",2026-05-10 19:57:00
11,HCAMCXPRICAC0076_09922,혜택,상세혜택,자동이체 할인,"쇼핑 멤버십 50%, OTT 10%, 이동통신 5% 할인(자동납부 할인)",구독/스트리밍,8,Online,국내,할인,,,,,,,,,"쇼핑 멤버십 50%, OTT 10%, 이동통신 5% 할인(자동납부 할인)",2026-05-10 19:57:00
