notice_id,card_id,notice_category,sub_category,notice_content,updated_at
1,HCAMCXPRICAC0076_09922,이용전확인사항,할인서비스 제외 대상,"무이자할부 이용금액, 단기카드대출(현금서비스), 장기카드대출(카드론), 상품권 및 선불카드(선불전자지급수단 포함) 구입·충전금액, 아파트관리비, 초·중·고등학교 납입금 전체, 정부지원금(보육료/유치원보조비/바우처 이용금액 등), 대학(대학원)등록금, 국세, 지방세, 공과금(전기/수도 등), 4대 사회보험료(건강/연금/고용/산재), 각종 수수료 및 이자, 연체료, 연회비, 신차구매청구(환급) 할인 전표 전체, 취소금액",2026-05-10 19:57:00
2,HCAMCXPRICAC0076_09922,이용전확인사항,전월 이용실적 기준,전월 1일 ~ 말일(승인시점 기준) 'KB ALL 카드' 일시불 및 할부 승인금액 기준(가족카드 포함),2026-05-10 19:57:00
3,HCAMCXPRICAC0076_09922,이용전확인사항,전월 이용실적 기준,해외 이용금액은 전월 1일 ~ 말일까지 일시불 매입완료 기준,2026-05-10 19:57:00
4,HCAMCXPRICAC0076_09922,이용전확인사항,전월 이용실적 기준,취소금액은 취소전표가 KB국민카드에 접수된 월의 실적에서 차감,2026-05-10 19:57:00
5,HCAMCXPRICAC0076_09922,이용전확인사항,전월 이용실적 제외 대상,"'KB ALL 카드' 자동납부(쇼핑 멤버십/OTT/이동통신) 할인 받은 이용건(해당 이용금액 전체), 단기카드대출(현금서비스), 장기카드대출(카드론), 상품권 및 선불카드(선불전자지급수단 포함) 구입·충전금액, 아파트관리비, 초·중·고등학교 납입금 전체, 정부지원금(보육료/유치원보조비/바우처 이용금액 등), 대학(대학원)등록금, 국세, 지방세, 공과금(전기/수도 등), 4대 사회보험료(건강/연금/고용/산재), 각종 수수료 및 이자, 연체료, 연회비, 무승인전표(교통요금/자판기/터널통행료/항공기내 이용 등), 취소금액",2026-05-10 19:57:00
6,HCAMCXPRICAC0076_09922,이용전확인사항,부가서비스 변경 안내,1-2. 제휴업체의 휴업·파산·경영상의 위기로 인해 불가피 하게 부가서비스를 축소·변경하는 경우로서 다른 제휴업체를 통해 동종의 유사한 부가서비스 제공이 불가한 경우,2026-05-10 19:57:00
7,HCAMCXPRICAC0076_09922,이용전확인사항,부가서비스 변경 안내,"KB ALL 카드(2022.12.26 출시)를 이용하는 경우 제공되는 포인트 및 할인혜택 등의 부가서비스는 다음 각 호를 제외하고는 변경할 수 없습니다.(단, 회원의 권익을 증진하거나 부담을 완화하는 경우는 제외합니다.)",2026-05-10 19:57:00
8,HCAMCXPRICAC0076_09922,이용전확인사항,부가서비스 변경 안내,"카드사가 부가서비스를 변경하는 경우 변경 사유, 변경 내용 등을 사유 발생 즉시 서면교부, 우편 또는 전자우편, 전화 또는 팩스, 휴대폰 메시지 또는 이에 준하는 전자적 의사 표시 중 서로 다른 2가지 이상의 방법으로 고지하여 드립니다. 다만, 상기 3호의 경우 부가서비스 변경일 6개월 이전부터 서면교부, 우편 또는 전자우편, 전화 또는 팩스, 휴대폰 메시지 또는 이에 준하는 전자적 의사표시 중 서로 다른 2가지 이상의 방법으로 매월 고지하여 드립니다.",2026-05-10 19:57:00
9,HCAMCXPRICAC0076_09922,이용전확인사항,해외 이용 확인사항,(KB국민은행),2026-05-10 19:57:00
10,HCAMCXPRICAC0076_09922,이용전확인사항,해외 이용 확인사항,국제브랜드 수수료(VISA 1.1%),2026-05-10 19:57:00
