benefit_id,card_id,row_type,benefit_group,benefit_title,benefit_summary,benefit_content,category,category_id,on_offline,benefit_type,benefit_value,benefit_unit,target_merchants,excluded_merchants,performance_level,performance_min,performance_max,min_amount,max_count,max_limit,max_limit_unit,updated_at,benefit_main_title
1,AAP1731,주요혜택,카드이용TIP,카드이용TIP,카드이용TIP,카드이용TIP,,,,,,,,,,,,,,,,2026-04-30 23:09:56,카드이용TIP
2,AAP1731,상세혜택,카드이용TIP,알아두면 유용한 정보,컨택리스 결제 지원(해외겸용카드),컨택리스 결제 지원(해외겸용카드),해외,19,,,,,해외,,,,,,,,,2026-04-30 23:09:56,카드이용TIP
3,AAP1731,상세혜택,카드이용TIP,알아두면 유용한 정보,카드플레이트에 인증마크가 있으면 단말기에 카드 터치만으로 결제가능! 해외에서도 안전하고 편리하게 결제하세요.,카드플레이트에 인증마크가 있으면 단말기에 카드 터치만으로 결제가능! 해외에서도 안전하고 편리하게 결제하세요.,해외,19,,,,,해외,,,,,,,,,2026-04-30 23:09:56,카드이용TIP
4,AAP1731,상세혜택,카드이용TIP,알아두면 유용한 정보,"자세한 내용은 국제브랜드사(VISA, Mastercard) 홈페이지에서 확인해주세요.","자세한 내용은 국제브랜드사(VISA, Mastercard) 홈페이지에서 확인해주세요.",페이/간편결제,10,,,,,페이,,,,,,,,,2026-04-30 23:09:56,카드이용TIP
5,AAP1731,상세혜택,카드이용TIP,취향 저격 맞춤 할인!주요 혜택 체크 포인트,많이 쓰는 영역 30% 자동 맞춤 할인,① 많이 쓰는 영역 30% 자동 맞춤 할인,,,,할인,30,%,,,,,,,,,,2026-04-30 23:09:56,카드이용TIP
6,AAP1731,상세혜택,카드이용TIP,취향 저격 맞춤 할인!주요 혜택 체크 포인트,"커피전문점, 배달앱, 델리 영역 중 매달 가장 많이 쓴 곳에서 월 최대 10,000원이 자동으로 할인돼요.","커피전문점, 배달앱, 델리 영역 중 매달 가장 많이 쓴 곳에서 월 최대 10,000원이 자동으로 할인돼요.","커피/카페/베이커리, 배달","14, 15",Both,할인,10000,원,"커피,배달",,,,,,,10000,원,2026-04-30 23:09:56,카드이용TIP
7,AAP1731,상세혜택,카드이용TIP,취향 저격 맞춤 할인!주요 혜택 체크 포인트,할인된 금액은 매달 결제대금에서 자동 차감되니 더 편리해요.,할인된 금액은 매달 결제대금에서 자동 차감되니 더 편리해요.,,,,할인,,,,,,,,,,,,2026-04-30 23:09:56,카드이용TIP
8,AAP1731,상세혜택,카드이용TIP,취향 저격 맞춤 할인!주요 혜택 체크 포인트,교통/이동통신/스트리밍 10% 결제일할인,② 교통/이동통신/스트리밍 10% 결제일할인,구독/스트리밍,8,Online,할인,10,%,스트리밍,,,,,,,,,2026-04-30 23:09:56,카드이용TIP
9,AAP1731,상세혜택,카드이용TIP,취향 저격 맞춤 할인!주요 혜택 체크 포인트,"버스, 지하철, 택시 이용건과 이동통신, 스트리밍 이용료 정기결제건은 월 최대 20,000원을 할인 받을 수 있어요.","버스, 지하철, 택시 이용건과 이동통신, 스트리밍 이용료 정기결제건은 월 최대 20,000원을 할인 받을 수 있어요.","대중교통/택시, 구독/스트리밍","5, 8",Online,할인,20000,원,"택시,스트리밍",,,,,,,20000,원,2026-04-30 23:09:56,카드이용TIP
10,AAP1731,상세혜택,카드이용TIP,취향 저격 맞춤 할인!주요 혜택 체크 포인트,"이동통신 : SKT, KT, LG U+, 알뜰폰 포함","이동통신 : SKT, KT, LG U+, 알뜰폰 포함",생활비,12,,,,,"SKT,KT,LG U+",,,,,,,,,2026-04-30 23:09:56,카드이용TIP
