benefit_id,card_id,row_type,benefit_group,benefit_title,benefit_summary,benefit_content,category,category_id,on_offline,benefit_type,benefit_value,benefit_unit,target_merchants,excluded_merchants,performance_level,performance_min,performance_max,min_amount,max_count,max_limit,max_limit_unit,updated_at,benefit_main_title
SHC_1228407_2207_B0001,SHC_1228407_2207,주요혜택,일상 생활비 적립,일상 생활비 적립,일상 생활비 적립,국내 결제금액 포인트 적립,생활비,12,Both,포인트적립,,,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0002,SHC_1228407_2207,주요혜택,일상 생활비 적립,일상 생활비 적립,일상 생활비 적립,건당 결제금액별 0.7~3% 포인트 적립,생활비,12,Both,포인트적립,0.7,%,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0003,SHC_1228407_2207,주요혜택,일상 생활비 적립,일상 생활비 적립,일상 생활비 적립,신한 SOL페이 결제 시 0.5% 추가 적립,"페이/간편결제, 생활비",12,Both,,0.5,%,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0004,SHC_1228407_2207,주요혜택,일상 생활비 적립,일상 생활비 적립,일상 생활비 적립,해외 결제금액 1% 포인트 적립,"생활비, 해외","12, 19",Both,포인트적립,1.0,%,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0005,SHC_1228407_2207,주요혜택,일상 생활비 적립,일상 생활비 적립,일상 생활비 적립,"가족행사월(5월, 12월) 적립 한도 1만 포인트 추가 제공",생활비,12,Both,,10000.0,포인트,,,,,,,,10000.0,포인트,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0006,SHC_1228407_2207,주요혜택,주말 외식비 적립,주말 외식비 적립,주말 외식비 적립,주말 음식점/배달앱 건당 2만원 이상 결제 시 1천 포인트 적립,"배달, 외식","15, 16",Online,포인트적립,1000.0,포인트,,,,,,20000.0,,,,2026-04-30,주말 외식비 적립
SHC_1228407_2207_B0007,SHC_1228407_2207,주요혜택,주말 외식비 적립,주말 외식비 적립,주말 외식비 적립,"음식점: 한식, 일식, 양식, 중식, 뷔페, 맥주홀, 일반대중음식, 패스트푸드, 제과점 업종","커피제과/카페/베이커리, 외식","14, 16",Offline,,,,,,,,,,,,,2026-04-30,주말 외식비 적립
SHC_1228407_2207_B0008,SHC_1228407_2207,주요혜택,주말 외식비 적립,주말 외식비 적립,주말 외식비 적립,"배달앱: 배달의민족, 요기요, 땡겨요","배달, 외식","15, 16",Online,,,,"배달의민족, 요기요, 땡겨요",,,,,,,,,2026-04-30,주말 외식비 적립
SHC_1228407_2207_B0009,SHC_1228407_2207,주요혜택,정기결제 자동납부 적립,정기결제 자동납부 적립,정기결제 자동납부 적립,"정기결제 자동납부 시 2만원당 1천 포인트 적립 도시가스/전기요금, 이동통신요금(SKT, KT, LG U+)","구독/스트리밍, 생활비","8, 12",Online,포인트적립,1000.0,포인트,"SKT, KT, LG U+",,,,,,,,,2026-04-30,정기결제 자동납부 적립
SHC_1228407_2207_B0010,SHC_1228407_2207,주요혜택,OTT 적립,OTT 적립,OTT 적립,"OTT 최대 2천 포인트 적립 넷플릭스, 유튜브 프리미엄, 티빙",구독/스트리밍,8,Online,포인트적립,2000.0,포인트,"넷플릭스, 유튜브 프리미엄, 티빙",,,,,,,2000.0,포인트,2026-04-30,OTT 적립
SHC_1228407_2207_B0011,SHC_1228407_2207,주요혜택,공통 유의사항,공통 유의사항,공통 유의사항,적립 서비스 유의사항,,,Both,,,,,,,,,,,,,2026-04-30,공통 유의사항
SHC_1228407_2207_B0012,SHC_1228407_2207,주요혜택,공통 유의사항,공통 유의사항,공통 유의사항,전월 이용금액 산정기준,,,Both,,,,,,,,,,,,,2026-04-30,공통 유의사항
SHC_1228407_2207_B0013,SHC_1228407_2207,주요혜택,Platinum,Platinum,Platinum,국제 브랜드사 서비스(플래티늄 등급 선택 시 제공),,,Both,,,,,,,,,,,,,2026-04-30,Platinum
SHC_1228407_2207_B0014,SHC_1228407_2207,상세혜택,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 0.7~3% 마이신한포인트 적립,생활비,12,Both,포인트적립,0.7,%,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0015,SHC_1228407_2207,상세혜택,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,신한 SOL페이로 국내 결제 시 0.5% 마이신한포인트 추가 적립,"페이/간편결제, 생활비",12,Both,포인트적립,0.5,%,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0016,SHC_1228407_2207,상세혜택,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,건당 결제금액: 3만원 미만 | 건당 적립률: 0.7% | 신한 SOL페이 추가 적립: 0.5%,"페이/간편결제, 생활비",12,Both,포인트적립,0.7,%,,,3만원 미만,0.0,30000.0,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0017,SHC_1228407_2207,상세혜택,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,건당 결제금액: 3만원 이상 10만원 미만 | 건당 적립률: 1.0% | 신한 SOL페이 추가 적립: 0.5%,"페이/간편결제, 생활비",12,Both,포인트적립,1.0,%,,,3만원 이상 10만원 미만,30000.0,100000.0,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0018,SHC_1228407_2207,상세혜택,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,건당 결제금액: 10만원 이상 30만원 미만 | 건당 적립률: 1.5% | 신한 SOL페이 추가 적립: 0.5%,"페이/간편결제, 생활비",12,Both,포인트적립,1.5,%,,,10만원 이상 30만원 미만,100000.0,300000.0,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0019,SHC_1228407_2207,상세혜택,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,건당 결제금액: 30만원 이상 100만원 미만 | 건당 적립률: 2.0% | 신한 SOL페이 추가 적립: 0.5%,"페이/간편결제, 생활비",12,Both,포인트적립,2.0,%,,,30만원 이상 100만원 미만,300000.0,1000000.0,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0020,SHC_1228407_2207,상세혜택,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,건당 결제금액: 100만원 이상 | 건당 적립률: 3.0% | 신한 SOL페이 추가 적립: 0.5%,"페이/간편결제, 생활비",12,Both,포인트적립,3.0,%,,,100만원 이상,1000000.0,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0021,SHC_1228407_2207,상세혜택,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,신한 SOL페이 추가 적립: 0.5%,"페이/간편결제, 생활비",12,Both,포인트적립,0.5,%,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0022,SHC_1228407_2207,유의사항,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,"신한 SOL페이 추가 적립 기준: 신한 SOL페이·신한 슈퍼SOL로 결제(터치결제, QR·바코드 결제, NFC 결제 포함. 단, ARS결제, 일반결제, Smart결제는 추가 적립 제외)",,,,,,,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0023,SHC_1228407_2207,유의사항,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,"일시불 거래의 할부 전환 시, 일시불 거래 기준으로 적립됩니다.",,,,,,,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0024,SHC_1228407_2207,유의사항,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,할부 거래는 총 거래 금액 기준으로 건당 적립률이 1회 적용됩니다.,,,,,,,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0025,SHC_1228407_2207,유의사항,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,"무이자할부 거래(슬림할부 등 부분 무이자, 일시불의 무이자할부 전환 포함)는 적립되지 않습니다.",,,,,,,,,,,,,,,,2026-04-30,일상 생활비 적립
SHC_1228407_2207_B0026,SHC_1228407_2207,유의사항,일상 생활비 적립,국내 건당 결제금액별 포인트 적립,국내 건당 결제금액별 포인트 적립,"포인트 사용 거래의 경우, 포인트 사용 금액을 제외한 결제금액을 기준으로 적립됩니다.",,,,,,,,,,,,,,,,2026-04-30,일상 생활비 적립
