notice_id,card_id,notice_category,sub_category,notice_content,updated_at
ME4_N0001,ME4,카드 이용 유의사항,해외 결제 이용 안내,"국내외겸용 카드로 해외 이용 시(해외사이트 거래 포함) 달러(USD) 기준 거래미화금액에 접수일의 (대외결제대행은행) 최초 고시 전신환매도율을 적용한 후, 국제브랜드사가 부과하는 국제브랜드 수수료(Visa 1.1%/Amex 1.4%)와 현대카드가 부과하는 해외서비스 수수료(0.2%)를 포함하여 원화로 청구됩니다. 국제브랜드 수수료 및 대외결제대행은행 관련 자세한 내용은 현대카드 홈페이지를 참고해 주세요.",2026-05-08 13:56:48
ME4_N0002,ME4,카드 이용 유의사항,해외 결제 이용 안내,해외 이용 시 청구 금액 산출 방법,2026-05-08 13:56:48
ME4_N0003,ME4,카드 이용 유의사항,해외 결제 이용 안내,* 해외 이용 시 청구 금액=(거래미화금액ⅹ전신환매도율¹)+국제브랜드 수수료²+해외서비스 수수료³,2026-05-08 13:56:48
ME4_N0004,ME4,카드 이용 유의사항,해외 결제 이용 안내,1. 전신환매도율 : 접수일의 대외결제대행은행 최초 고시 전신환매도율,2026-05-08 13:56:48
ME4_N0005,ME4,카드 이용 유의사항,해외 결제 이용 안내,2. 국제브랜드 수수료=(거래미화금액ⅹ국제브랜드 수수료율 1.1%/1.4%)ⅹ전신환매도율,2026-05-08 13:56:48
ME4_N0006,ME4,카드 이용 유의사항,해외 결제 이용 안내,3. 해외서비스 수수료=(거래미화금액ⅹ해외서비스 수수료율 0.2%)ⅹ전신환매도율,2026-05-08 13:56:48
ME4_N0007,ME4,카드 이용 유의사항,해외 결제 이용 안내,해외원화결제차단서비스 신청 방법,2026-05-08 13:56:48
ME4_N0008,ME4,카드 이용 유의사항,해외 결제 이용 안내,해외 가맹점에서 원화거래(DCC) 시 추가 수수료가 부과되므로 현지통화 또는 미화로 거래하시기 바랍니다.,2026-05-08 13:56:48
ME4_N0009,ME4,카드 이용 유의사항,해외 결제 이용 안내,홈페이지 > Account > 카드 관리 > 해외원화결제차단 서비스,2026-05-08 13:56:48
ME4_N0010,ME4,카드 이용 유의사항,해외 결제 이용 안내,앱 > 메뉴(좌측 상단) > 편의·안심서비스 > 해외 원화 결제 차단,2026-05-08 13:56:48
ME4_N0011,ME4,카드 이용 유의사항,기타 안내,결제 계좌 개설기관의 영업 마감 시간(오후 4시) 이후 결제 계좌에 입금된 금액에 대해서는 결제 계좌 개설기관의,2026-05-08 13:56:48
ME4_N0012,ME4,카드 이용 유의사항,기타 안내,사정에 따라 당일 출금되지 못하여 연체로 처리될 수 있으니 유의하시기 바랍니다. 자동납부 업무 마감 시간 이후 현대카드 홈페이지 및 앱에서,2026-05-08 13:56:48
ME4_N0013,ME4,카드 이용 유의사항,기타 안내,즉시결제 또는 입금전용(가상)계좌 입금(송금납부)을 통해 당일 결제가 가능합니다.(카드 대금 납부 관련한 자세한 내용은 홈페이지 > My Account > 이용내역 > 이용대금 명세서 또는 앱 > 메뉴(좌측 상단) > 카드 이용 내역 > 월별 명세서 참고),2026-05-08 13:56:48
ME4_N0014,ME4,카드 이용 유의사항,민원 접수 안내,"현대카드 홈페이지, 고객센터, 팩스, 이메일 또는 방문, 우편을 통해 가능",2026-05-08 13:56:48
ME4_N0015,ME4,카드 이용 유의사항,민원 접수 안내,홈페이지 > 고객지원 > 소비자보호 > 전자민원 접수,2026-05-08 13:56:48
ME4_N0016,ME4,카드 이용 유의사항,민원 접수 안내,고객센터 : 1577-6000(해외 82-2-3015-9000),2026-05-08 13:56:48
ME4_N0017,ME4,카드 이용 유의사항,민원 접수 안내,팩스 : 02-2165-9454,2026-05-08 13:56:48
ME4_N0018,ME4,카드 이용 유의사항,민원 접수 안내,이메일 : hc_VOC@hyundaicard.com,2026-05-08 13:56:48
ME4_N0019,ME4,카드 이용 유의사항,민원 접수 안내,방문/우편 : 서울시 영등포구 의사당대로 3 현대카드빌딩 카드소비자보호팀 담당자,2026-05-08 13:56:48
ME4_N0020,ME4,카드 이용 유의사항,가족 카드 이용 안내,가족 카드 연회비는 각 상품별 연회비 부과 기준을 따름,2026-05-08 13:56:48
ME4_N0021,ME4,카드 이용 유의사항,가족 카드 이용 안내,가족 회원 기준 5매까지 발급 가능하며 본인 카드 국제브랜드와 동일하게 발급,2026-05-08 13:56:48
ME4_N0022,ME4,카드 이용 유의사항,가족 카드 이용 안내,"부가 서비스별 이용 실적 및 이용 한도는 본인+가족 카드 합산 적용되며, 그 외 이용 기준은 본인 카드와 동일",2026-05-08 13:56:48
ME4_N0023,ME4,카드 이용 유의사항,가족 카드 이용 안내,"연말정산 시 가족 카드 이용 금액은 가족 회원(카드 플레이트에 표기된 명의자)의 이용 금액에 포함되며, 연간 소득 금액은 국세청 기준에 따름",2026-05-08 13:56:48
