benefit_id,card_id,row_type,benefit_group,benefit_title,benefit_summary,category,on_offline,region,benefit_type,value,unit,target_merchants,excluded_merchants,performance_level,max_limit,benefit_content,updated_at 
1,AAP1731,혜택,KSP,KSP,많이 쓰는 영역 30% 자동 맞춤 할인,,Both,국내,서비스,,,,,,,많이 쓰는 영역 30% 자동 맞춤 할인,2026-04-08 13:22
2,AAP1731,혜택,KSP,KSP,교통·이동통신·스트리밍 10% 결제일할인,,Both,국내,서비스,,,,,,,교통·이동통신·스트리밍 10% 결제일할인,2026-04-08 13:22
3,AAP1731,혜택,KSP,KSP,온라인 간편결제·해외 3%·1% 결제일할인,,Both,국내,서비스,,,,,,,온라인 간편결제·해외 3%·1% 결제일할인,2026-04-08 13:22
4,AAP1731,혜택,카드이용TIP,카드이용TIP,알아두면 유용한 정보,,Both,국내,서비스,,,,,,,알아두면 유용한 정보,2026-04-08 13:22
5,AAP1731,혜택,카드이용TIP,카드이용TIP,컨택리스 결제 지원(해외겸용카드),,Both,국내,서비스,,,,,,,컨택리스 결제 지원(해외겸용카드),2026-04-08 13:22
6,AAP1731,혜택,카드이용TIP,카드이용TIP,카드플레이트에 인증마크가 있으면 단말기에 카드 터치만으로 결제가능! 해외에서도 안전하고 편리하게 결제하세요.,,Both,국내,서비스,,,,,,,카드플레이트에 인증마크가 있으면 단말기에 카드 터치만으로 결제가능! 해외에서도 안전하고 편리하게 결제하세요.,2026-04-08 13:22
7,AAP1731,혜택,카드이용TIP,카드이용TIP,취향 저격 맞춤 할인!주요 혜택 체크 포인트,,Both,국내,서비스,,,,,,,취향 저격 맞춤 할인!주요 혜택 체크 포인트,2026-04-08 13:22
8,AAP1731,혜택,카드이용TIP,카드이용TIP,① 많이 쓰는 영역 30% 자동 맞춤 할인,,Both,국내,서비스,,,,,,,① 많이 쓰는 영역 30% 자동 맞춤 할인,2026-04-08 13:22
9,AAP1731,혜택,카드이용TIP,카드이용TIP,"커피전문점, 배달앱, 델리 영역 중 매달 가장 많이 쓴 곳에서 월 최대 10,000원이 자동으로 할인돼요. 할인된 금액은 매달 결제대금에서 자동 차감되니 더 편리해요.",,Both,국내,서비스,,,,,,,"커피전문점, 배달앱, 델리 영역 중 매달 가장 많이 쓴 곳에서 월 최대 10,000원이 자동으로 할인돼요. 할인된 금액은 매달 결제대금에서 자동 차감되니 더 편리해요.",2026-04-08 13:22
10,AAP1731,혜택,카드이용TIP,카드이용TIP,② 교통/이동통신/스트리밍 10% 결제일할인,,Both,국내,서비스,,,,,,,② 교통/이동통신/스트리밍 10% 결제일할인,2026-04-08 13:22
11,AAP1731,혜택,카드이용TIP,카드이용TIP,"버스, 지하철, 택시 이용건과 이동통신, 스트리밍 이용료 정기결제건은 월 최대 20,000원을 할인 받을 수 있어요.",,Both,국내,서비스,,,,,,,"버스, 지하철, 택시 이용건과 이동통신, 스트리밍 이용료 정기결제건은 월 최대 20,000원을 할인 받을 수 있어요.",2026-04-08 13:22
12,AAP1731,혜택,카드이용TIP,카드이용TIP,③ 온라인 간편결제/해외 3%/1% 결제일할인,,Both,국내,서비스,,,,,,,③ 온라인 간편결제/해외 3%/1% 결제일할인,2026-04-08 13:22
13,AAP1731,혜택,카드이용TIP,카드이용TIP,"온라인에서도, 해외에서도 월 최대 3% 할인을 받을 수 있어요.",,Both,국내,서비스,,,,,,,"온라인에서도, 해외에서도 월 최대 3% 할인을 받을 수 있어요.",2026-04-08 13:22
14,AAP1731,혜택,카드이용TIP,카드이용TIP,Q. 전월 이용금액 채울 때 기억할 점은?,,Both,국내,서비스,,,,,,,Q. 전월 이용금액 채울 때 기억할 점은?,2026-04-08 13:22
15,AAP1731,혜택,카드이용TIP,카드이용TIP,A. 3%/10% 할인 받은 이용금액 제외!,,Both,국내,서비스,,,,,,,A. 3%/10% 할인 받은 이용금액 제외!,2026-04-08 13:22
