benefit_id,card_id,row_type,benefit_group,benefit_title,benefit_summary,category,category_id,on_offline,benefit_type,benefit_value,benefit_unit,target_merchants,excluded_merchants,performance_level,performance_min,performance_max,min_amount,max_count,max_limit,max_limit_unit,benefit_content,updated_at
ME4_B0001,ME4,주요혜택,M포인트 적립,기본 혜택,,,,Offline,포인트,1.5,%,,,,500000,,,,,,국내외 가맹점,2026-05-08 13:52:24
ME4_B0002,ME4,주요혜택,M포인트 적립,기본 혜택,,,,Offline,포인트,1.5,%,,,,500000,,,,,,1.5% M포인트 적립,2026-05-08 13:52:24
ME4_B0003,ME4,주요혜택,M포인트 적립,기본 혜택,,,,Offline,포인트,1.5,%,,,,500000,,,,,,전월 이용 금액 50만원 이상 시,2026-05-08 13:52:24
ME4_B0004,ME4,주요혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,"온라인 쇼핑몰, 일반음식점, 해외 가맹점",2026-05-08 13:52:24
ME4_B0005,ME4,주요혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,5% M포인트 적립 (월 1만 M포인트 한도),2026-05-08 13:52:24
ME4_B0006,ME4,주요혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,전월 이용 금액 100만원 이상 시,2026-05-08 13:52:24
ME4_B0007,ME4,주요혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,M 긴급적립(선지급 포인트 서비스),2026-05-08 13:52:24
ME4_B0008,ME4,주요혜택,우대 서비스,M 긴급적립(선지급 포인트 서비스),,,,Online,포인트,500000,포인트,,,,,,,,500000,포인트,최대 50만 M포인트 먼저 받아 사용하고 적립되는 M포인트로 상환,2026-05-08 13:52:24
ME4_B0009,ME4,주요혜택,메탈 플레이트,메탈 플레이트 제공 (2026. 1. 1 ~ 12. 31),,,,,서비스,,,,,,,,,,,,M Metal,2026-05-08 13:52:24
ME4_B0010,ME4,주요혜택,메탈 플레이트,메탈 플레이트 제공 (2026. 1. 1 ~ 12. 31),,,,,서비스,,,,,,,,,,,,차별화된 가치를 느낄 수 있는 메탈 플레이트 제공,2026-05-08 13:52:24
ME4_B0011,ME4,주요혜택,메탈 플레이트,메탈 플레이트 제공 (2026. 1. 1 ~ 12. 31),,,,,서비스,,,,,,,,,,,,(2026. 1. 1 ~ 12. 31),2026-05-08 13:52:24
ME4_B0012,ME4,주요혜택,M포인트 사용처,일상 사용처,,"반려동물, 레저/스포츠, 커피제과/카페/베이커리, 백화점/아울렛/면세점, 편의점, 온라인쇼핑, 패션/뷰티, 슈퍼마켓/생활잡화, 문화/엔터, 생활비, 배달, 외식, 여행/숙박, 교육/육아","7, 9, 14, 4, 13, 1, 2, 3, 11, 12, 15, 16, 17, 20",Offline,포인트,,,,,,,,,,,,일상 사용처,2026-05-08 13:52:24
ME4_B0013,ME4,주요혜택,M포인트 사용처,일상 사용처,,"반려동물, 레저/스포츠, 커피제과/카페/베이커리, 백화점/아울렛/면세점, 편의점, 온라인쇼핑, 패션/뷰티, 슈퍼마켓/생활잡화, 문화/엔터, 생활비, 배달, 외식, 여행/숙박, 교육/육아","7, 9, 14, 4, 13, 1, 2, 3, 11, 12, 15, 16, 17, 20",Offline,포인트,,,,,,,,,,,,"커피/베이커리, 외식, 쇼핑, 여행/면세점, 영화/음악, 자동차",2026-05-08 13:52:24
ME4_B0014,ME4,주요혜택,M포인트 사용처,일상 사용처,,"반려동물, 레저/스포츠, 커피제과/카페/베이커리, 백화점/아울렛/면세점, 편의점, 온라인쇼핑, 패션/뷰티, 슈퍼마켓/생활잡화, 문화/엔터, 생활비, 배달, 외식, 여행/숙박, 교육/육아","7, 9, 14, 4, 13, 1, 2, 3, 11, 12, 15, 16, 17, 20",Offline,포인트,,,,,,,,,,,,다양한 제휴 사용처에서 M포인트 사용,2026-05-08 13:52:24
ME4_B0015,ME4,주요혜택,M포인트 사용처,M몰,,온라인쇼핑,1,Online,포인트,50.0,%,M몰,,,,,,,,,M몰,2026-05-08 13:52:24
ME4_B0016,ME4,주요혜택,M포인트 사용처,M몰,,온라인쇼핑,1,Online,포인트,50.0,%,M몰,,,,,,,,,상품 구매 시 50~100% M포인트 사용,2026-05-08 13:52:24
ME4_B0017,ME4,주요혜택,M포인트 사용처,자동차 구매,,자동차/주유,6,Offline,포인트,,,"현대자동차, 기아",,,,,,,2000000,포인트,자동차 구매,2026-05-08 13:52:24
ME4_B0018,ME4,주요혜택,M포인트 사용처,자동차 구매,,자동차/주유,6,Offline,포인트,,,"현대자동차, 기아",,,,,,,2000000,포인트,현대자동차·기아 신차 구매 시 M포인트 사용,2026-05-08 13:52:24
ME4_B0019,ME4,주요혜택,M포인트 사용처,M포인트 교환,,,,Online,포인트,,,,,,,,,,,,M포인트 교환,2026-05-08 13:52:24
ME4_B0020,ME4,주요혜택,M포인트 사용처,M포인트 교환,,,,Online,포인트,,,,,,,,,,,,M포인트를 현금처럼 교환 사용,2026-05-08 13:52:24
ME4_B0021,ME4,주요혜택,M포인트 사용처,M포인트 교환,,,,Online,포인트,,,,,,,,,,,,"제휴 포인트 교환처 및 연회비 결제, H-Coin 전환 등",2026-05-08 13:52:24
ME4_B0022,ME4,상세혜택,M포인트 적립,기본 혜택,전월 이용 금액 50만원 이상 시 국내외 가맹점 1.5% M포인트 적립,,,Offline,포인트,1.5,%,,,,500000,,,,,,전월 이용 금액 50만원 이상 시 국내외 가맹점 1.5% M포인트 적립,2026-05-08 13:52:25
ME4_B0023,ME4,상세혜택,M포인트 적립,기본 혜택,,,,Offline,포인트,1.5,%,,,,500000,,,,,,1회 및 연간 적립 한도 제한 없음,2026-05-08 13:52:25
ME4_B0024,ME4,상세혜택,M포인트 적립,기본 혜택,,,,Offline,포인트,1.5,%,,,,500000,,,,,,신규 발급 시 발급월 다음 달 이용 건까지는 전월 이용 금액 50만원 미만도 혜택 제공,2026-05-08 13:52:25
ME4_B0025,ME4,상세혜택,M포인트 적립,기본 혜택,,,,Offline,포인트,1.5,%,,,,500000,,,,,,국내외 가맹점은 현대카드 가맹점 등록 기준,2026-05-08 13:52:25
