card_id,company,card_name,card_type,network,is_domestic_foreign,has_transport,annual_fee_dom_basic,annual_fee_dom_premium,annual_fee_for_basic,annual_fee_for_premium,annual_fee_notes,min_performance,summary,image_url,link_url,has_cashback,fee_content,updated_at,
FCDY,현대,현대카드 Teens,신용,Local,FALSE,TRUE,2000,0,0,0,"(기본연회비 0원 + 제휴연회비 2,000원)",100000,청소년이 자주 쓰는 4개 영역 2% 청구 할인 | 만 12세 이상부터 만 18세까지 신청 가능,https://www.hyundaicard.com/img/com/card/card_FCDY_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=FCDY,TRUE,,2026-06-03 14:51,
TO,현대,the Orange,신용,VISA,TRUE,TRUE,200000,0,200000,0,"(기본연회비 50,000원 + 제휴연회비 150,000원)
가족카드 50,000원(기본연회비 0원 + 제휴연회비 50,000원)",500000,매년 15만 바우처 제공 | 온라인몰·다이닝·웰니스·테크 10% 적립,https://www.hyundaicard.com/img/com/card/card_TO_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TO,FALSE,,2026-06-03 14:51,
HDSHE2,현대,현대홈쇼핑 현대카드 Edition2,신용,VISA,TRUE,TRUE,20000,0,20000,0,"(기본연회비 10,000원 + 제휴연회비 10,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",400000,현대홈쇼핑 Hmall 7% 청구 할인 | 그 외 국내외 가맹점 1% 적립금 적립,https://www.hyundaicard.com/img/com/card/card_HDSHE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HDSHE2,TRUE,,2026-06-03 14:53,
TBE4,현대,the Black,신용,VISA,TRUE,TRUE,3000000,0,3000000,0,"(기본연회비 1,000,000원 + 제휴연회비 2,000,000원)
가족카드 1,000,000원(기본연회비 0원 + 제휴연회비 1,000,000원)",500000,"단 1단 1,000명에게 선사하는VVIP카드 | 바우처200만원 상당제공 | 마티나 골드 라운지무료이용",000명에게 선사하는 VVIP카드 | 바우처 200만원 상당제공 | 마티나 골드 라운지무료이용,https://www.hyundaicard.com/img/com/card/card_TBE4_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TBE4,FALSE,,2026-06-03 14:53
TPE4,현대,the Purple,신용,VISA,TRUE,TRUE,1000000,0,1000000,0,"(기본연회비 300,000원 + 제휴연회비 700,000원)
가족카드 350,000원(기본연회비 0원 + 제휴연회비 350,000원)",500000,국내 Luxury/Gourmet 영역에서 사용하는 바우처 | 대한항공 마일리지와 M포인트 중 선택 적립,https://www.hyundaicard.com/img/com/card/card_TPE4_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TPE4,FALSE,,2026-06-03 14:55,
TPIE2,현대,the Pink Edition2,신용,VISA,TRUE,TRUE,150000,0,150000,0,"(기본연회비 50,000원 + 제휴연회비 100,000원)
가족카드 50,000원(기본연회비 0원 + 제휴연회비 50,000원)",500000,"연간 최대 100만 | the Pink 바우처 교환 | 프리미엄 쇼핑 영역 5% 적립 | 공항 라운지, 발레파킹 무료",https://www.hyundaicard.com/img/com/card/card_TPIE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TPIE2,FALSE,,2026-06-03 15:04,
SPM,현대,현대카드 Summit,신용,VISA,TRUE,TRUE,200000,0,200000,0,"(기본연회비 50,000원 + 제휴연회비 150,000원)
가족 카드 50,000원(기본연회비 0원 + 제휴연회비 50,000원)",500000,국내외 가맹점 1.5% 적립 | 교육·병원·여행·골프 5% 적립 | 백화점·호텔·여행 15만원 바우처 제공,https://www.hyundaicard.com/img/com/card/card_SPM_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SPM,FALSE,,2026-06-03 15:06,
MPE4,현대,현대카드MM,신용,"VISA,AMEX",TRUE,TRUE,70000,0,70000,0,"(기본연회비 20,000원 + 제휴연회비 50,000원)
가족카드 20,000원",500000,국내외 가맹점 1.5% 적립 | 온라인쇼핑·외식·해외 10% 적립 | 최대 50만 M포인트 긴급적립 | (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_MPE4_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MPE4,FALSE,,2026-06-03 15:19,
XCUT,현대,현대카드 X Cut,신용,"VISA,AMEX",TRUE,TRUE,30000,0,30000,0,"(기본연회비 10,000원 + 제휴연회비 20,000원)
가족카드 10,000원(기본연회비 0원 + 제휴연회비 10,000원)",1000000,뷰티/생활/패션·배달 앱·편의점 5% 할인 | 국내외 가맹점 1% 할인 | 최대 50만 긴급할인 | (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_XCUT_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XCUT,TRUE,,2026-06-03 15:21,
XSAV,현대,현대카드 X Save,신용,"VISA,AMEX",TRUE,TRUE,30000,0,30000,0,"(기본연회비 10,000원 + 제휴연회비 20,000원)
가족카드 10,000원(기본연회비 0원 + 제휴연회비 10,000원)",1000000,온라인몰·교육·병원 5% 할인 | 국내외 가맹점 1% 할인 | 최대 50만 긴급할인 | (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_XSAV_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XSAV,TRUE,,2026-06-03 15:21,
