card_id,company,card_name,card_type,network,is_domestic_foreign,has_transport,annual_fee_dom_basic,annual_fee_dom_premium,annual_fee_for_basic,annual_fee_for_premium,annual_fee_notes,min_performance,summary,image_url,link_url,has_cashback,fee_content,updated_at
00235,국민,KB국민 에버온 EV 카드,신용,"Local,Mastercard",True,TRUE,20000,0,20000,0,"(모바일단독: 14,000원)",400000,"전기/수소차 충전 20% 청구할인 | 주차, 세차 20% 청구할인 | OTT 20% 청구할인",https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/00235_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=00235,TRUE,"<table class=""benefit-table""><tr><th>구분</th><th>기본연회비</th><th>제휴연회비</th><th>합계</th><th>브랜드</th></tr><tr><td>일반(실물카드)</td><td>7,000원</td><td>13,000원</td><td>20,000원</td><td rowspan=""2"">국내전용(Local)/ 국내외겸용(Master)</td></tr><tr><td>모바일단독카드</td><td>1,000원</td><td>13,000원</td><td>14,000원</td></tr></table>
- 연회비는 카드발급 시점을 기준으로 1년 단위로 청구되며, 최초/2차년도 연회비 면제 조건은 없습니다.
- 해당 카드 연회비(기본연회비+제휴연회비)는 카드별로 청구됩니다.
[연회비 반환 기준]
회원이 유효기간이 도래하기 전에 카드를 해지한 경우, 연회비 반환금액은 계약을 해지한 날부터 일 단위로 계산하여 산정하며, 10영업일 이내에 반환 처리 됩니다. 다만, 부가서비스 제공내역 확인에 시간이 소요되는 등의 불가피한 사유로 10영업일 이내에 반환하기 어려운 경우, 계약 해지일로부터 3개월 이내에 반환할 수 있습니다.  회원이 이미 납부한 연회비에 반영된 다음의 비용은 금액산정에서 제외됩니다.",2026-06-05 11:20
00236,국민,볼트업 KB EV 카드,신용,"Local,Mastercard",True,TRUE,20000,0,20000,0,"(모바일단독: 14,000원)",400000,"전기/수소차 충전 20% 청구할인 | 주차, 세차 20% 청구할인 | OTT 20% 청구할인",https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/00236_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=00236,TRUE,"<table class=""benefit-table""><tr><th>구분</th><th>기본연회비</th><th>제휴연회비</th><th>합계</th><th>브랜드</th></tr><tr><td>일반(실물카드)</td><td>7,000원</td><td>13,000원</td><td>20,000원</td><td rowspan=""2"">국내전용(Local)/ 국내외겸용(Master)</td></tr><tr><td>모바일단독카드</td><td>1,000원</td><td>13,000원</td><td>14,000원</td></tr></table>
- 연회비는 카드발급 시점을 기준으로 1년 단위로 청구되며, 최초/2차년도 연회비 면제 조건은 없습니다.
- 해당 카드 연회비(기본연회비+제휴연회비)는 카드별로 청구됩니다.
[연회비 반환 기준]
회원이 유효기간이 도래하기 전에 카드를 해지한 경우, 연회비 반환금액은 계약을 해지한 날부터 일 단위로 계산하여 산정하며, 10영업일 이내에 반환 처리 됩니다. 다만, 부가서비스 제공내역 확인에 시간이 소요되는 등의 불가피한 사유로 10영업일 이내에 반환하기 어려운 경우, 계약 해지일로부터 3개월 이내에 반환할 수 있습니다.  회원이 이미 납부한 연회비에 반영된 다음의 비용은 금액산정에서 제외됩니다.",2026-06-05 9:55
01142,국민,The CJ KB국민카드,신용,"Local,Mastercard,VISA,JCB",True,TRUE,5000,0,10000,0,"국내전용: 5,000원(모바일단독: 1,000원) / MASTER카드: 10,000원(모바일단독: 6,000원) / VISA카드: 10,000원(모바일단독: 6,000원) / JCB카드: 10,000원(모바일단독: 6,000원)",0,CJ푸드빌 10~20% 현장할인 | CJ온스타일 5% 할인 | CGV 2~6 천원 청구할인,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01142_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01142,TRUE,"<table class=""benefit-table""><tr><th>발급유형</th><th>브랜드</th><th>등급</th><th>기본연회비</th><th>제휴연회비</th><th>합계</th></tr><tr><td rowspan=""2"">모바일 단독</td><td>국내전용</td><td rowspan=""2"">골드</td><td>1천원</td><td>-</td><td>1천원</td></tr><tr><td>국내외겸용 (VISA, Master, JCB)</td><td>6천원</td><td>-</td><td>6천원</td></tr><tr><td rowspan=""4"">플라스틱</td><td rowspan=""2"">국내전용</td><td>실버</td><td>3천원</td><td rowspan=""2"">-</td><td>3천원</td></tr><tr><td>골드</td><td>5천원</td><td>5천원</td></tr><tr><td rowspan=""2"">국내외겸용 (VISA, Master, JCB)</td><td>실버</td><td>5천원</td><td rowspan=""2"">-</td><td>5천원</td></tr><tr><td>골드</td><td>1만원</td><td>1만원</td></tr></table>
- 초회년도 : 연회비 면제조건 없음
- 차기년도 기본+제휴연회비 : 『The CJ KB국민카드』로 CJ온스타일에서 1건 이상 사용 시 또는 『The CJ KB국민카드』로 연간 100만원 이상 사용 시 면제 (전표매입 기준, 단기카드대출(현금서비스) 제외)
- 모바일 단독카드란? 카드 실물 없이 스마트폰 앱에 카드정보를 등록하여 모바일로 이용가능한 카드입니다. (KB Pay방식)
- 모바일 단독카드와 기타 실물 KB국민카드 동시 보유시 해당 실물카드 연회비가 청구됩니다.
[연회비 반환 기준]
- 회원이 유효기간이 도래하기 전에 카드를 해지한 경우 연회비 반환금액은 계약을 해지한 날부터 일할 계산하여 산정하며, 10영업일 이내에 반환처리 됩니다. 다만, 불가피한 사유로 10영업일 이내에 반환하기 어려운 경우 계약 해지일부터 3개월 이내에 반환할 수 있습니다. 이 경우 회원이 이미 납부한 연회비에 반영된 다음의 비용은 금액산정에서 제외됩니다.(단, 2차년도 이후는 발급비용을 차감하지 않음) ① 카드의 발행, 배송 등 카드발급(신규발급)에 소요된 비용 ② 카드이용시 제공되는 추가적인 혜택(기프트 제공 비용 등) 부가서비스에 소요된 비용
- 모바일 단독카드의 해지 시에는 모바일 단독카드 연회비 반환 기준에 의거하여 처리됩니다. 바로보기
[모바일 단독카드 기본 연회비]
<table class=""benefit-table""><tr><th>기본연회비</th></tr><tr><td>1천원/3천원/6천원</td></tr></table>
[모바일 단독카드 연회비 반환 기준]
- 모바일 단독카드의 해지 시 실물카드에 해당되는 초회년도 발급비용이 차감되지 않습니다.
- 다만, 모바일 단독카드와 실물카드를 동시에 보유한 고객의 경우 아래의 기준에 따릅니다. 고객1. 모바일 단독카드 신규 발급 후 실물카드를 추가 발급한 고객 ① 신규발급 초회년도에 모바일 단독카드와 실물카드를 모두 해지한 경우 → 모바일 단독카드 기본 연회비 중 실물카드에 해당하는 발급비용 차감 후 환급 모바일 단독카드 기본연회비가 1천원, 3천원인 경우 환급 금액은 없으며, 6천원인 경우에 한하여 일할 계산한 금액을 차감한 후 환급됩니다. ② 신규발급 차기년도에 모바일 단독카드와 실물카드를 모두 해지한 경우                                                                        → 실물카드에 해당하는 발급비용 미 차감 고객2. 실물카드 신규 발급 후 모바일 단독카드를 추가 발급한 고객 → 실물카드 연회비 기준에 따라 반환
- 고객1. 모바일 단독카드 신규 발급 후 실물카드를 추가 발급한 고객 ① 신규발급 초회년도에 모바일 단독카드와 실물카드를 모두 해지한 경우 → 모바일 단독카드 기본 연회비 중 실물카드에 해당하는 발급비용 차감 후 환급 모바일 단독카드 기본연회비가 1천원, 3천원인 경우 환급 금액은 없으며, 6천원인 경우에 한하여 일할 계산한 금액을 차감한 후 환급됩니다. ② 신규발급 차기년도에 모바일 단독카드와 실물카드를 모두 해지한 경우                                                                        → 실물카드에 해당하는 발급비용 미 차감
- 고객2. 실물카드 신규 발급 후 모바일 단독카드를 추가 발급한 고객 → 실물카드 연회비 기준에 따라 반환
모바일 단독카드 기본연회비가 1천원, 3천원인 경우 환급 금액은 없으며, 6천원인 경우에 한하여 일할 계산한 금액을 차감한 후 환급됩니다.",2026-06-05 11:20
01664,국민,KB국민카드 노리 체크카드,체크,"Local,Mastercard,VISA,UnionPay",True,TRUE,0,0,0,0,,200000,"대중교통 10% 청구할인 | 이동통신요금 2,500 원 환급할인 | CGV 35% 환급할인",https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/01664_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=01664,TRUE,,2026-06-05 9:56
02171,국민,KB국민 웅진씽크빅 카드,신용,"Local,Mastercard,JCB",TRUE,TRUE,15000,0,15000,0,"국내전용: 15,000원 / JCB(K-WORLD): 15,000원 / MASTER카드: 15,000원",300000,웅진씽크빅 자동납부 1.2 /1.7 만원 청구할인,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02171_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02171,TRUE,"<table class=""benefit-table""><tr><th>구 분</th><th>기본연회비(회원별)</th><th>제휴연회비(카드별)</th><th>합 계</th></tr><tr><th>국내전용</th><td rowspan=""2"">7천원</td><td rowspan=""2"">8천원</td><td rowspan=""2"">1만5천원</td></tr><tr><th>해외겸용 K-WORLD(JCB타입)/ Master</th></tr></table>
- 연회비는 카드발급 시점을 기준으로 1년 단위로 청구되며, 초회/차기년도 연회비 면제 조건은 없습니다.
[연회비 반환 기준]
- 회원이 유효기간이 도래하기 전에 카드를 해지한 경우 연회비 반환금액은 계약을 해지한 날부터 일 단위로 계산하여 산정하며, 10영업일 이내에 반환처리됩니다.
다만, 부가서비스 제공 내역 확인에 시간이 소요되는 등의 불가피한 사유로 10영업일 이내에 반환하기 어려운 경우 계약 해지일로부터 3개월 이내에 반환할 수 있습니다. 회원이 이미 납부한 연회비에 반영된 다음의 비용은 금액산정에서 제외됩니다. ① 카드의 발행/배송 등 카드발급(신규발급)에 소요된 비용(단, 2차년도 이후는 발급비용 차감 없음) ② 카드 이용 시 제공되는 추가적인 혜택(기프트 제공 비용)등 부가서비스 제공에 소요된 비용",2026-06-05 17:24
02210,국민,KB국민 비상온리원 카드,신용,"Local,Mastercard,JCB",TRUE,TRUE,15000,0,15000,0,"국내전용: 15,000원 / JCB(K-WORLD): 15,000원 / MASTER카드: 15,000원",300000,비상온리원 자동납부 1.2 /1.7 만원 청구할인,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02210_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02210,TRUE,"<table class=""benefit-table""><tr><th>구 분</th><th>기본연회비(회원별)</th><th>제휴연회비(카드별)</th><th>합 계</th></tr><tr><th>국내전용</th><td rowspan=""2"">7천원</td><td rowspan=""2"">8천원</td><td rowspan=""2"">1만5천원</td></tr><tr><th>해외겸용 K-WORLD(JCB타입)/ Master</th></tr></table>
- 연회비는 카드발급 시점을 기준으로 1년 단위로 청구되며, 초회/차기년도 연회비 면제 조건은 없습니다.
[연회비 반환 기준]
- 회원이 유효기간이 도래하기 전에 카드를 해지한 경우 연회비 반환금액은 계약을 해지한 날부터 일 단위로 계산하여 산정하며, 10영업일 이내에 반환처리됩니다. 다만, 부가서비스 제공 내역 확인에 시간이 소요되는 등의 불가피한 사유로 10영업일 이내에 반환하기 어려운 경우 계약 해지일로부터 3개월 이내에 반환할 수 있습니다. 회원이 이미 납부한 연회비에 반영된 다음의 비용은 금액산정에서 제외됩니다. ① 카드의 발행/배송 등 카드발급(신규발급)에 소요된 비용(단, 2차년도 이후는 발급비용 차감 없음) ② 카드 이용 시 제공되는 추가적인 혜택(기프트 제공 비용)등 부가서비스 제공에 소요된 비용",2026-06-05 17:24
02219,국민,두산베어스 KB카드,신용,"Local,Mastercard",True,TRUE,15000,0,15000,0,"(모바일단독: 9,000원)",300000,두산베어스 특화 최대 3 만원 할인 | 생활 영역 최대 2 만원 할인,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02219_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02219,TRUE,"<table class=""benefit-table""><tr><th>구분</th><th>국내전용(Local)</th><th>국내외겸용(Master)</th></tr><tr><td>일반(실물카드)</td><td colspan=""2"">1만5천원(기본 7천원 + 제휴 8천원)</td></tr><tr><td>모바일단독카드</td><td colspan=""2"">9천원(기본 1천원 + 제휴 8천원)</td></tr></table>
- 연회비는 카드발급 시점을 기준으로 1년 단위로 청구되며, 연회비 면제 조건은 없습니다.
- 해당 카드 연회비(기본연회비+제휴연회비)는 카드별로 청구됩니다.
[연회비 반환 기준]
- 회원이 유효기간이 도래하기 전에 카드를 해지한 경우, 연회비 반환금액은 계약을 해지한 날부터 일 단위로 계산하여 산정하며, 10영업일 이내에 반환 처리 됩니다.
다만, 부가서비스 제공내역 확인에 시간이 소요되는 등의 불가피한 사유로 10영업일 이내에 반환하기 어려운 경우, 계약 해지일로부터 3개월 이내에 반환할 수 있습니다.
이 경우 회원이 이미 납부한 연회비에 반영된 다음의 비용은 금액산정에서 제외됩니다. ① 카드의 발행·배송 등 카드발급(신규발급)에 소요된 비용 ② 카드 이용 시 제공되는 추가적인 혜택 (기프트 제공 비용) 등 부가서비스 제공에 소요된 비용
- 모바일 단독카드란 카드 실물없이 스마트폰 앱(KB Pay 등)에 카드정보를 등록하여 모바일로 이용 가능한 카드입니다.
- 모바일 단독카드는 본인 명의의 휴대폰으로만 이용 가능합니다.
- 모바일 단독카드 신청 시 'KB국민 모바일 회원약관'을 반드시 확인 바랍니다. 모바일 단독카드로 이용가능한 국내 오프라인 가맹점 세부 안내는 KB국민카드 홈페이지>서비스>결제서비스>KB Pay> KB Pay 가맹점 참조
- 「두산베어스 KB카드」를 모바일 단독카드로 발급받는 경우 국내 일부 및 해외 오프라인 가맹점에서 사용이 제한됩니다.
- ① 카드의 발행·배송 등 카드발급(신규발급)에 소요된 비용
- ② 카드 이용 시 제공되는 추가적인 혜택 (기프트 제공 비용) 등 부가서비스 제공에 소요된 비용
모바일 단독카드로 이용가능한 국내 오프라인 가맹점 세부 안내는 KB국민카드 홈페이지>서비스>결제서비스>KB Pay> KB Pay 가맹점 참조",2026-06-05 9:52
02245,국민,SK에너지 러브유 KB국민카드,신용,"Local,Mastercard,VISA,JCB",True,TRUE,7000,0,12000,0,"국내전용: 7,000원 / MASTER카드: 12,000원 / VISA카드: 12,000원 / JCB카드: 12,000원",300000,SK에너지 100 원/L 현장할인 | 스피드메이트 엔진오일 무료교환·정비 | 대중교통 10% 청구할인,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02245_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02245,TRUE,"<table class=""benefit-table""><tr><th>구분</th><th>국내</th><th>국내외 겸용 (VISA,Master,JCB)</th><th>비고</th></tr><tr><td>상품연회비</td><td>7,000원</td><td>12,000원</td><td>타 KB국민카드와 동시에 보유 시 기존의 회원별 기본연회비는 종전과 동일하게 청구됩니다.</td></tr></table>
- 초회연도 : 연회비 면제조건 없음
- 차기년도 : SK에너지 러브油 KB국민카드로 연간 300만원 이상 사용시 차기년도 상품연회비 면제 (전표 매입 기준, 단기카드대출(현금서비스) 제외, 플래티늄 제휴연회비는 면제대상이 아님) 각종 수수료 (할부수수료, 단기카드대출(현금서비스) 취급수수료 등), 연회비 등은 기본연회비 면제기준 허용실적에 불포함
- 가족카드는 연회비가 부과되지 않습니다.
- 카드연회비는 매년 카드 발급 월(단, 초회년도에는 최초 이용일 기준 해당 결제월에, 2개월 이내 이용실적이 없는 경우에는 2개월 경과일 기준 해당 결제 월) 기준으로 1년 단위로 청구되며, 1년 이상 이용실적이 없는 카드의 연회비는 청구하지 않습니다. 단, 초회년도 연회비는 이용실적이 없는 경우에도 납부하셔야 합니다.
각종 수수료 (할부수수료, 단기카드대출(현금서비스) 취급수수료 등), 연회비 등은 기본연회비 면제기준 허용실적에 불포함
[연회비 반환 기준]
회원이 유효기간이 도래하기 전에 카드를 해지하는 경우 이미 납부한 연회비에서 발급비용을 차감한 후 잔여기간에 대하여 일할 계산하여 산정된 반환금액을 카드사와 계약을 해지한 날로부터 10영업일 이내에 결제계좌로 자동 입금해 드립니다. (단, 2차년도 이후는 발급비용을 차감하지 않습니다.)",2026-06-05 9:56
04284,국민,요기패스 신용카드(가로형),신용,"Local,UnionPay,Mastercard",True,TRUE,15000,0,15000,0,"국내전용: 15,000원 / Union Pay(K-WORLD): 15,000원 / MASTER카드: 15,000원",300000,"요기패스 멤버십 9,900 원 청구할인 | 생활업종 5% 청구할인 | 구독서비스 10% 청구할인",https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04284_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04284,TRUE,"<table class=""benefit-table""><tr><th>구분</th><th>기본연회비(회원별)</th><th>제휴연회비(카드별)</th><th>합계</th></tr><tr><td>국내전용 (Local)</td><td rowspan=""2"">7천원</td><td rowspan=""2"">8천원</td><td rowspan=""2"">1만5천원</td></tr><tr><td>국내외겸용 (K-World(UPI), Master)</td></tr></table>
- 연회비는 카드발급 시점을 기준으로 1년 단위로 청구되며, 초회/차기년도 연회비 면제 조건은 없습니다.
[연회비 반환 기준]
회원이 유효기간이 도래하기 전에 카드를 해지한 경우, 연회비 반환금액은 계약을 해지한 날부터 일 단위로 계산하여 산정하며, 10영업일 이내에 반환처리 됩니다. 다만, 부가서비스 제공내역 확인에 시간이 소요되는 등의 불가피한 사유로 10영업일 이내에 반환하기 어려운 경우, 계약 해지일로부터 3개월 이내에 반환할 수 있습니다. 이 경우 회원이 이미 납부한 연회비에 반영된 다음의 비용은 금액산정에서 제외됩니다. ① 카드의 발행·배송 등 카드발급(신규발급)에 소요된 비용 ② 카드 이용 시 제공되는 추가적인 혜택 (기프트 제공 비용) 등 부가서비스 제공에 소요된 비용",2026-06-05 9:54
04285,국민,스카이패스 티타늄 카드,신용,"Local,Mastercard",True,TRUE,45000,0,45000,0,"국내전용: 45,000원 / MASTER카드: 45,000원",300000,"국내가맹점 적립 1 마일 1,000원 당 | 해외이용 적립 2 마일 1,000원 당 | 적립한도 : 월별 5천 마일",https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04285_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04285,FALSE,"<table class=""benefit-table""><tr><th>구 분</th><th>기본연회비(회원별)</th><th>제휴연회비(카드별)</th><th>합 계</th></tr><tr><th>국내전용</th><td rowspan=""2"">7천원</td><td rowspan=""2"">3만8천원</td><td rowspan=""2"">4만5천원</td></tr><tr><th>국내외겸용(Master)</th></tr></table>
- 연회비는 카드발급 시점을 기준으로 1년 단위로 청구되며, 초회/차기년도 연회비 면제 조건은 없습니다.
[연회비 반환 기준]
- 회원이 유효기간이 도래하기 전에 카드를 해지한 경우, 연회비 반환금액은 계약을 해지한 날부터 일 단위로 계산하여 산정하며, 10영업일 이내에 반환처리됩니다. 다만, 부가서비스 제공 내역 확인에 시간이 소요되는 등의 불가피한 사유로 10영업일 이내에 반환하기 어려운 경우, 계약 해지일로부터 3개월 이내에 반환할 수 있습니다. 회원이 이미 납부한 연회비에 반영된 다음의 비용은 금액산정에서 제외됩니다. ① 카드의 발행·배송 등 카드발급(신규발급)에 소요된 비용 (단, 2차년도 이후는 발급비용 차감 없음) ② 카드 이용 시 제공되는 추가적인 혜택(기프트 제공 비용) 등 부가서비스 제공에 소요된 비용",2026-06-05 11:20
